Id,SalePrice
1461,128916.786
1462,161497.322
1463,185431.995
1464,199196.587
1465,199341.41
1466,173414.699
1467,174121.603
1468,162803.018
1469,190209.466
1470,120354.773
1471,207857.125
1472,97316.561
1473,95832.553
1474,147923.461
1475,112430.594
1476,362578.957
1477,256694.55
1478,287157.289
1479,289191.992
1480,490068.918
1481,333768.758
1482,214517.284
1483,182183.718
1484,164572.294
1485,188545.15
1486,196727.577
1487,337662.705
1488,226761.824
1489,193065.317
1490,234164.822
1491,199804.757
1492,104004.526
1493,176258.674
1494,307663.135
1495,297419.9
1496,230256.847
1497,181113.828
1498,171867.501
1499,160871.09
1500,154675.108
1501,176587.458
1502,147419.891
1503,288172.419
1504,240577.709
1505,222909.563
1506,193790.321
1507,251126.727
1508,208940.995
1509,165131.968
1510,144289.446
1511,156285.495
1512,173706.991
1513,138965.434
1514,162057.747
1515,195272.456
1516,158838.728
1517,172266.763
1518,133101.621
1519,215297.337
1520,130792.181
1521,134874.097
1522,176275.01
1523,115657.184
1524,121447.845
1525,124199.48
1526,115258.596
1527,107841.463
1528,137113.378
1529,154627.459
1530,185699.835
1531,106336.445
1532,93822.398
1533,152668.623
1534,124627.193
1535,157150.059
1536,108426.599
1537,66053.711
1538,163822.561
1539,207265.643
1540,84056.624
1541,145012.36
1542,143147.778
1543,202078.654
1544,86142.613
1545,117802.084
1546,136615.497
1547,134310.491
1548,141012.437
1549,121903.365
1550,137025.833
1551,108305.484
1552,140190.067
1553,148450.874
1554,119307.148
1555,164940.867
1556,80530.459
1557,111551.868
1558,101055.505
1559,76721.775
1560,140078.624
1561,136323.658
1562,130009.519
1563,119011.331
1564,163677.704
1565,151140.232
1566,248153.682
1567,77286.886
1568,238604.214
1569,138197.106
1570,137518.528
1571,123845.296
1572,145366.888
1573,241797.977
1574,121642.905
1575,223867.553
1576,246803.143
1577,181605.443
1578,142745.522
1579,148771.313
1580,194551.092
1581,152769.16
1582,123630.931
1583,309577.409
1584,222263.291
1585,138538.773
1586,69716.519
1587,103705.513
1588,149377.329
1589,96445.394
1590,134708.825
1591,94656.026
1592,113463.875
1593,123955.161
1594,138837.503
1595,112685.002
1596,233738.797
1597,200404.081
1598,230849.388
1599,171931.438
1600,163871.495
1601,64892.288
1602,115345.827
1603,71006.806
1604,261788.687
1605,246032.901
1606,169804.597
1607,179396.638
1608,214959.064
1609,181892.119
1610,152482.18
1611,139343.72
1612,171992.063
1613,162441.259
1614,118453.466
1615,91326.305
1616,77814.989
1617,94431.67
1618,126153.175
1619,138995.286
1620,168953.778
1621,139815.515
1622,144746.83
1623,267094.803
1624,223455.074
1625,120704.156
1626,167509.927
1627,193462.898
1628,279212.172
1629,179924.991
1630,367335.663
1631,232001.563
1632,251803.198
1633,170041.419
1634,186739.803
1635,178731.323
1636,150458.878
1637,205603.411
1638,198182.046
1639,184566.856
1640,264464.159
1641,180469.027
1642,235447.829
1643,233000.495
1644,232701.295
1645,201220.467
1646,157460.612
1647,153712.124
1648,129667.058
1649,137452.961
1650,110745.558
1651,121848.22
1652,99088.033
1653,100843.501
1654,147100.696
1655,135493.915
1656,141091.073
1657,149388.345
1658,146001.695
1659,121117.638
1660,153880.08
1661,454163.251
1662,395032.097
1663,378371.089
1664,507392.136
1665,294221.025
1666,330798.671
1667,382864.641
1668,325188.455
1669,295564.289
1670,339841.991
1671,273296.353
1672,427897.876
1673,305388.286
1674,247331.432
1675,200661.685
1676,198532.077
1677,223488.643
1678,461671.961
1679,385865.967
1680,322797.786
1681,234331.283
1682,313609.614
1683,188372.03
1684,176683.018
1685,177014.854
1686,167898.234
1687,169031.294
1688,192923.066
1689,195204.446
1690,198251.236
1691,185036.176
1692,259390.572
1693,170900.16
1694,181946.308
1695,162816.354
1696,289544.566
1697,170471.729
1698,370708.429
1699,316234.666
1700,256663.384
1701,279283.924
1702,247969.142
1703,241728.148
1704,284391.683
1705,232159.532
1706,400000.828
1707,209050.879
1708,201509.852
1709,273568.65
1710,223245.445
1711,269885.779
1712,260653.001
1713,268786.955
1714,219303.684
1715,207704.225
1716,186390.901
1717,177274.445
1718,140228.88
1719,213032.196
1720,238975.802
1721,161636.213
1722,127009.51
1723,152340.162
1724,205971.052
1725,238463.373
1726,189371.928
1727,160072.264
1728,173699.323
1729,169851.541
1730,157429.494
1731,122022.104
1732,124293.166
1733,114464.894
1734,118376.238
1735,125582.262
1736,109341.17
1737,304767.085
1738,251813.515
1739,238796.978
1740,216804.633
1741,193628.077
1742,173362.078
1743,176990.729
1744,326102.51
1745,223359.706
1746,175979.695
1747,225195.389
1748,221144.166
1749,142694.895
1750,124229.81
1751,257088.584
1752,115952.559
1753,151622.322
1754,190978.263
1755,165349.868
1756,125612.151
1757,120255.47
1758,144333.924
1759,165851.026
1760,165656.266
1761,147065.41
1762,180480.242
1763,187489.068
1764,114577.431
1765,156768.828
1766,188817.479
1767,233629.163
1768,142067.656
1769,173978.865
1770,153682.931
1771,123733.477
1772,136184.247
1773,121127.855
1774,145006.156
1775,142371.508
1776,128351.488
1777,109141.121
1778,139225.592
1779,123724.085
1780,183481.727
1781,129322.97
1782,87122.887
1783,147416.677
1784,110172.537
1785,124290.999
1786,143817.625
1787,165334.871
1788,60197.185
1789,102016.133
1790,77451.3
1791,189097.779
1792,160222.512
1793,131594.565
1794,157878.775
1795,139744.641
1796,124720.143
1797,114848.927
1798,122864.428
1799,110371.079
1800,134610.794
1801,130889.732
1802,135000.961
1803,148911.2
